Received: Sat Jul 05 19:10:37 CDT 2014:  Hey! Its good, how was climbing?
Received: Sat Jul 05 20:08:59 CDT 2014:  Its going but lets just say its been a crazy day. And hahaha dangit i want to see that humiliation! Haha i'd be terrible too though
Received: Sat Jul 05 20:37:53 CDT 2014:  Okay not that bad thankfully haha. So are you guys still gonna go to the movie tonight?
Received: Sat Jul 05 21:05:42 CDT 2014:  What time does it start? Im out in black hawk right now
Received: Sat Jul 05 21:15:51 CDT 2014:  Yeah we did and i feel bad leaving for the cleanup so i probably wont be able to make it, but you guys have fun!
Received: Sat Jul 05 21:47:23 CDT 2014:  Okay thanks for understanding! Its just my mom and I tonight so yeah bummer, next time! And yeah text me when the movies over if you're still gonna do it
Received: Sat Jul 05 22:06:07 CDT 2014:  Hahaha hello Uhoh! (P.s. Im sorry you have to be seen in public with him)
Received: Sat Jul 05 22:40:48 CDT 2014:  Of course i will! So how long do you think you'll be there?
Received: Sat Jul 05 23:37:40 CDT 2014:  Hey this is acctually gonna take longer than i thought, i dont think i'm gonna make it tonight
Received: Sat Jul 05 23:58:43 CDT 2014:  Yeah we definitely will, sorry to bail again though! What movie is it?
Received: Sun Jul 06 00:15:51 CDT 2014:  Like 150 so not too many but just enough to make a giant mess lol
Received: Sun Jul 06 00:29:24 CDT 2014:  We mainly did different curries. It was a cool wedding though, it was all at their house and was super nice. What types of movies are those?
Received: Sun Jul 06 02:49:08 CDT 2014:  Oh yeah that sounds like it would be really good, haha alien groundhog day thats funny
Received: Fri Jul 11 20:01:10 CDT 2014:  Its good! The drive was super hot though, how was camp?
Received: Fri Jul 11 22:04:49 CDT 2014:  Thats awesome where did you bike at? No we took the suburban and the AC doesnt work in there either haha so yeah it sucks. When do you leave for Mitchell right?
Received: Fri Jul 11 22:49:58 CDT 2014:  Yeah hopefully it'll cool down a little for you! We're staying in sioux falls tonight and going up to minneapolis tomorrow
Sent: Sat Jul 05 17:06:42 CDT 2014:  How's the wedding?
Sent: Sat Jul 05 19:43:12 CDT 2014:  It's been super hot outside so we've played settlers of catan and slacklined instead. It's French, Cameron and Uhoh. We're some of the worst slackliners ever. Lol
Sent: Sat Jul 05 19:58:43 CDT 2014:  How's the tai-bbq working out?
Sent: Sat Jul 05 20:19:11 CDT 2014:  Oh man, crazier than the first be our guest dinner?
Sent: Sat Jul 05 20:54:58 CDT 2014:  Yep! We're snagging done pizza at lintz bros now and headed to the movie after. Do you think you'll be able to make it?
Sent: Sat Jul 05 21:06:20 CDT 2014:  830ish. Did you guys just finish?
Sent: Sat Jul 05 21:23:56 CDT 2014:  No worries! We'll just have to go again another weekend. I can completely respect staying to help your family. If you had to pick a reason to stay that's a good one. And we might play ghosts in the graveyard after, if you're up for it.
Sent: Sat Jul 05 21:50:10 CDT 2014:  Will do! Let us know when you're free for the night.
Sent: Sat Jul 05 22:11:34 CDT 2014:  Oh, It's okay I just tell people he's my retarded brother. By the way the movie is a double feature if you still feel like swinging by one you're done.
Sent: Sat Jul 05 22:43:32 CDT 2014:  I don't know for sure, but we're only forty minutes into the first movie. So  we'll probably be here for a while yet.
Sent: Sat Jul 05 23:42:34 CDT 2014:  No worries. I'm sure we'll be able to hang out another weekend. We just finished the first movie. 
